pricing,bed,bath,sqft,plot_size,address,PublicSymbol,PrivateSymbol
"$989,000",3,2.5,"1,552","1,307",630 13th st ne,NonLead,NonLead
"$685,000",4,2.5,"1,502","2,090",615 kensington pl ne,NonLead,NonLead
"$825,000",3,2.5,"1,688","1,372",433 15th st ne,NonLead,NonLead
"$1,975,000",5,4.5,"3,162","4,500",5109 44th st nw,NonLead,NonLead
"$789,000",3,3,"2,709","5,070",3024 q st se,NonLead,NonLead
"$519,000",4,2,"1,664","2,940",4040 d st se,NonLead,NonLead
"$799,950",3,2.5,"2,252","3,360",1351 franklin st ne,NonLead,NonLead
"$525,000",4,,"2,516","4,067",5133 astor pl se,NonLead,NonLead
"$875,000",4,3.5,"2,139","1,525",4608 iowa ave nw,NonLead,NonLead
"$664,900",4,2.5,"1,596","1,419",616 somerset pl nw,NonLead,NonLead
"$2,450,000",5,5.5,"4,699","4,482",4611 43rd st nw,NonLead,NonLead
"$1,250,000",4,3.5,"3,146","7,500",7729 16th st nw,NonLead,NonLead
"$400,000",4,1.5,"1,905","1,695",5046 central ave se,NonLead,NonLead
"$819,000",3,1.5,"1,136",882,2244 12th pl nw,NonLead,NonLead
"$1,099,000",3,1.5,"1,278","3,833",3401 quebec st nw,NonLead,NonLead
"$1,399,900",3,2,"1,614",952,1738 v st nw,NonLead,Lead
"$725,000",3,2.5,"2,214","5,062",3600 28th st ne,NonLead,NonLead
"$1,850,000",4,4,"3,827","8,000",5100 macomb st nw,NonLead,NonLead
"$450,000",4,2.5+,"1,646","1,509",2702 2nd st se,NonLead,NonLead
"$1,137,000",4,,"2,085","1,637",1529 6th st nw,NonLead,NonLead
"$1,550,000",4,4.5,"2,280","1,526",1312 d st se,NonLead,NonLead
"$4,995,000",7,5.5,"5,960",0.68,2830 chesterfield pl nw,NonLead,NonLead
"$1,240,000",4,3.5,"2,050","2,093",1608 potomac ave se,NonLead,NonLead
"$4,895,000",7,6.5,"6,493","9,505",3025 university ter nw,NonLead,NonLead
"$1,999,900",3,3,"2,364","2,588",2449 p st nw,NonLead,NonLead
"$675,000",3,1.5,"1,328","1,024",1307 emerald st ne,NonLead,NonLead
"$580,000",3,1,"1,573","2,732",2809 myrtle ave ne,NonLead,NonLead
"$1,379,000",3,2.5+,"2,541","1,216",3508 whitehaven pkwy nw,NonLead,NonLead
"$879,900",4,3.5,"2,448","2,178",518 irving st nw,NonLead,NonLead
"$2,150,000",4,4.5,"3,375","2,640",4017 mansion dr nw,NonLead,NonLead
"$1,995,000",5,4.5,"5,323",0.25,1809 parkside dr nw,NonLead,NonLead
"$3,450,000",5,5,"5,826",0.27,5833 potomac ave nw,NonLead,NonLead
"$1,400,000",4,2.5,"3,206","8,775",3511 15th st ne,NonLead,NonLead
"$1,000,000",4,3.5,"2,584","2,000",78 q st nw,NonLead,NonLead
"$450,000",4,2,958,"8,738",1450 eastern ave ne,Lead,Lead
"$750,000",8,,,"3,343",44 forrester st sw,NonLead,NonLead
"$284,000",3,1.5,"1,202","8,260",4840 hayes st ne,Lead,Lead
"$3,495,000",6,6.5,"5,664","5,000",4915 western ave nw,NonLead,NonLead
"$569,000",3,2.5,"1,856","1,600",1507 downing st ne,NonLead,NonLead
"$1,275,000",2,2.5,"1,528",900,1247 31st st nw,NonLead,NonLead
"$999,900",3,1.5,"1,372","1,440",640 l st ne,NonLead,NonLead
"$325,000",3,1.5,"2,063","3,358",123 raleigh st se,NonLead,NonLead
"$3,990,000",6,5.5,"4,482","2,481",1696 31st st nw,NonLead,NonLead
"$6,500,000",Studio,0.5,"8,685","2,500",2211 massachusetts ave nw,NonLead,NonLead
"$624,900",5,,"2,572","4,100",2726 fort baker dr se,NonLead,NonLead
"$624,900",5,3,"2,572","4,100",2726 fort baker dr se,NonLead,NonLead
"$550,000",3,2,"1,618","8,253",3052 monroe st ne,NonLead,NonLead
"$839,000",Studio,0.5+,"1,847","1,200",211 k st ne,NonLead,Lead
"$825,000",3,1.5,"1,692","1,092",635 orleans pl ne,NonLead,NonLead
"$1,999,000",5,4.5,"2,852","1,305",952 westminster st nw,NonLead,NonLead
"$342,095",3,2.5,"1,550","1,480",2004 trenton pl se,NonLead,NonLead
"$625,000",2,1,"1,016","1,429",713 euclid st nw,NonLead,NonLead
